DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.StaticCallLinker, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:34 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.DynamicCallLinker, Started, 41.85, 484.20, 4294.97
Wed Sep 10 09:34:35 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.DynamicCallLinker, CpgPass, 13.90, 512.45, 4294.97
Wed Sep 10 09:34:35 IST 2025, Default overlays, io.joern.x2cpg.passes.callgraph.DynamicCallLinker, Done, 13.90, 512.45, 4294.97
Wed Sep 10 09:34:35 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Started, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:35 IST 2025, Default overlays, io.shiftleft.semanticcpg.Overlays$$anon$1, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:35 IST 2025, Default overlays, <not set>, Done, 31.01, 392.79, 4294.97
Wed Sep 10 09:34:35 IST 2025, Run oss data flow, <not set>, Started, 11.50, 183.15, 4294.97
Wed Sep 10 09:34:35 IST 2025, Run oss data flow, io.joern.dataflowengineoss.passes.reachingdef.ReachingDefPass, Started, 12.73, 183.15, 4294.97
Wed Sep 10 09:34:36 IST 2025, Run oss data flow, io.joern.dataflowengineoss.passes.reachingdef.ReachingDefPass, ForkJoinParallelCpgPass, 25.01, 210.41, 4294.97
Wed Sep 10 09:34:37 IST 2025, Run oss data flow, io.joern.dataflowengineoss.passes.reachingdef.ReachingDefPass, ForkJoinParallelCpgPass, 27.65, 371.12, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, io.joern.dataflowengineoss.passes.reachingdef.ReachingDefPass, ForkJoinParallelCpgPass, 37.91, 174.52, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, io.joern.dataflowengineoss.passes.reachingdef.ReachingDefPass, Done, 30.19, 252.02, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, io.shiftleft.semanticcpg.Overlays$$anon$1, Started, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, io.shiftleft.semanticcpg.Overlays$$anon$1, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, Kotlin post processing passes, Started, 27.73, 281.48, 4294.97
Wed Sep 10 09:34:38 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, Started, 23.28, 281.48, 4294.97
Wed Sep 10 09:34:39 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, XTypeRecovery, 30.19, 396.74, 4294.97
Wed Sep 10 09:34:40 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, Done, 30.19, 396.74, 4294.97
Wed Sep 10 09:34:40 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, Started, 30.19, 396.74, 4294.97
Wed Sep 10 09:34:40 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, XTypeRecovery, 41.14, 429.65, 4294.97
Wed Sep 10 09:34:41 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeRecovery, Done, 41.14, 429.65, 4294.97
Wed Sep 10 09:34:41 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeHintCallLinker, Started, 45.16, 280.53, 4294.97
Wed Sep 10 09:34:41 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeHintCallLinker, XTypeHintCallLinker, 24.59, 314.09, 4294.97
Wed Sep 10 09:34:41 IST 2025, Run oss data flow, io.joern.kotlin2cpg.passes.KotlinTypeHintCallLinker, Done, 24.59, 314.09, 4294.97
Wed Sep 10 09:34:41 IST 2025, Run oss data flow, <not set>, Done, 31.08, 316.09, 4294.97
Wed Sep 10 09:34:41 IST 2025, <not set>, <not set>, Done, 16.15, 328.77, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, <not set>, Started, 10.82, 328.77, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.DSDPass, Started, 8.55, 329.84, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.DSDPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.PropertyParserPass, Started, 10.51, 330.87, 4294.97
Wed Sep 10 09:34:41 IST 2025, Privado source passes, ai.privado.passes.PropertyParserPass, Done, 0.00, 0.00, 4294.97
